"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"3039","206069_s_at",-1.51304482928396,7.06457587505608,-19.2049716288094,1.09871968490038e-36,6.44283440490402e-34,73.0226507125516,"ACADL","acyl-CoA dehydrogenase long chain"
"2379","204731_at",-2.42220168031985,8.36735144693458,-19.1846448449584,1.20095089755301e-36,6.86174073081379e-34,72.9344795864151,"TGFBR3","transforming growth factor beta receptor 3"
"2240","204482_at",-1.88827772944581,9.20338721933645,-19.0237863230683,2.43270573249944e-36,1.32075855380924e-33,72.2348514185497,"CLDN5","claudin 5"
"2990","205952_at",-2.04944326425545,7.85916657570093,-19.0185466766264,2.48942508908082e-36,1.32075855380924e-33,72.2120063897418,"KCNK3","potassium two pore domain channel subfamily K member 3"
"3176","206488_s_at",-2.56711535417382,7.57859119154206,-19.0277190183897,2.39099019853858e-36,1.32075855380924e-33,72.2519957741087,"CD36","CD36 molecule (CD36 blood group)"
"6018","213451_x_at",-1.69411374958093,9.6217209533271,-19.0028414115343,2.66753655171546e-36,1.38234225539246e-33,72.1435097296718,"TNXA","tenascin XA (pseudogene)"
"6019","213451_x_at",-1.69411374958093,9.6217209533271,-19.0028414115343,2.66753655171546e-36,1.38234225539246e-33,72.1435097296718,"TNXB","tenascin XB"
"6805","215454_x_at",-3.98982156871534,8.78325574483178,-18.9401492323097,3.51595828974106e-36,1.780593149325e-33,71.8697684261696,"SFTPC","surfactant protein C"
"7035","216333_x_at",-1.65222290862421,9.56956226775701,-18.928474696783,3.70170186190928e-36,1.8330005019761e-33,71.8187363565428,"TNXB","tenascin XB"
"7036","216333_x_at",-1.65222290862421,9.56956226775701,-18.928474696783,3.70170186190928e-36,1.8330005019761e-33,71.8187363565428,"TNXA","tenascin XA (pseudogene)"
"3093","206208_at",-2.00928437987403,6.63900695658879,-18.8925070235575,4.33839863699475e-36,2.10157688756857e-33,71.6614028973123,"CA4","carbonic anhydrase 4"
